text,read_code,read_term
Open subluxation of sacrum,S49D2,Open subluxation of sacrum
Closed traumatic subluxation of sternum,S49E0,Closed traumatic subluxation of sternum
Closed traumatic subluxation of pelvis,S49E1,Closed traumatic subluxation of pelvis
Closed traumatic subluxation sternoclavicular joint,S49E2,Closed traumatic subluxation sterno-clavicular joint
"Closed traumatic subluxation, sternoclavicular joint, anterior",S49E3,"Closed traumatic subluxation, sterno-clavicular joint, ant"
"Closed traumatic subluxation, sternoclavicular joint, posterior",S49E4,"Closed traumatic subluxation, sterno-clavicular joint, post"
Closed traumatic subluxation laryngeal cartilage,S49E5,Closed traumatic subluxation laryngeal cartilage
Closed traumatic subluxation costovertebral joint,S49E6,Closed traumatic subluxation costo-vertebral joint
Closed traumatic subluxation of costochondral joint,S49E7,Closed traumatic subluxation costo-chondral joint
Open traumatic subluxation of sternum,S49F0,Open traumatic subluxation of sternum
Open traumatic subluxation of pelvis,S49F1,Open traumatic subluxation of pelvis
Open traumatic subluxation sternoclavicular joint,S49F2,Open traumatic subluxation sterno-clavicular joint
"Open traumatic subluxation, sternoclavicular joint, anterior",S49F3,"Open traumatic subluxation, sterno-clavicular jt, anterior"
"Open traumatic subluxation, sternoclavicular joint, posterior",S49F4,"Open traumatic subluxation, sterno-clavicular joint, post"
Open traumatic subluxation laryngeal cartilage,S49F5,Open traumatic subluxation laryngeal cartilage
Open traumatic subluxation costovertebral joint,S49F6,Open traumatic subluxation costo-vertebral joint
Open traumatic subluxation of costochondral joint,S49F7,Open traumatic subluxation costo-chondral joint
Nasal septal caudal dislocation,S49G.,Dislocation of septal cartilage of nose
Closed fracture dislocation acromioclavicular joint,S4A01,Closed fracture-dislocation acromio-clavicular joint
Open fracture dislocation shoulder joint,S4A10,Open fracture-dislocation shoulder joint
Open fracture dislocation acromioclavicular joint,S4A11,Open fracture-dislocation acromio-clavicular joint
Closed fracture subluxation acromioclavicular joint,S4A21,Closed fracture-subluxation acromio-clavicular joint
Open fracture subluxation shoulder joint,S4A30,Open fracture-subluxation shoulder joint
Open fracture subluxation of acromioclavicular joint,S4A31,Open fracture-subluxation acromio-clavicular joint
Fracture subluxation of elbow joint,S4B..,Fracture-dislocation or subluxation elbow
Closed fracture dislocation superior radioulnar joint,S4B01,Closed fracture-dislocation superior radio-ulnar joint
Open fracture dislocation elbow joint,S4B10,Open fracture-dislocation elbow joint
Open fracture dislocation superior radioulnar joint,S4B11,Open fracture-dislocation superior radio-ulnar joint
Closed fracture subluxation elbow,S4B2.,Closed fracture-subluxation elbow
Closed fracture subluxation elbow joint,S4B20,Closed fracture-subluxation elbow joint
Closed fracture subluxation superior radioulnar joint,S4B21,Closed fracture-subluxation superior radio-ulnar joint
Open fracture subluxation of elbow joint,S4B30,Open fracture-subluxation elbow joint
Open fracture subluxation superior radioulnar joint,S4B31,Open fracture-subluxation superior radio-ulnar joint
Closed fracture dislocation of wrist,S4C0.,Closed fracture dislocation of wrist
Closed fracture dislocation distal radioulnar joint,S4C00,Closed fracture-dislocation distal radio-ulnar joint
Closed fracture dislocation radiocarpal joint,S4C01,Closed fracture-dislocation radiocarpal joint
Closed fracture dislocation midcarpal,S4C02,Closed fracture-dislocation mid carpal
Closed fracture dislocation of carpometacarpal joint,S4C03,"Closed fracture-dislocation, carpometacarpal joint"
Closed fracture dislocation lunate (volar),S4C04,Closed fracture-dislocation lunate (volar)
Closed fracture dislocation perilunate (dorsal),S4C05,Closed fracture-dislocation peri-lunate (dorsal)
Closed fracture dislocation perilunate transscaphoid,S4C06,Closed fracture-dislocation peri-lunate trans-scaphoid
Open fracture dislocation wrist,S4C1.,Open fracture dislocation wrist
Open fracture dislocation of distal radioulnar joint,S4C10,"Open fracture-dislocation, distal radio-ulnar joint"
Open fracture dislocation radiocarpal joint,S4C11,Open fracture-dislocation radiocarpal joint
Open fracture dislocation midcarpal,S4C12,Open fracture-dislocation mid carpal
Open fracture dislocation carpometacarpal joint,S4C13,Open fracture-dislocation carpometacarpal joint
Open fracture dislocation lunate (volar),S4C14,Open fracture-dislocation lunate (volar)
Open fracture dislocation perilunate (dorsal),S4C15,Open fracture-dislocation peri-lunate (dorsal)
Open fracture dislocation perilunate transscaphoid,S4C16,Open fracture-dislocation peri-lunate trans-scaphoid
Closed fracture subluxation of the wrist,S4C2.,Closed fracture-subluxation of the wrist
Closed fracture subluxation of distal radioulnar joint,S4C20,"Closed fracture-subluxation, distal radio-ulnar jt"
Closed fracture subluxation radiocarpal joint,S4C21,Closed fracture-subluxation radiocarpal joint
Closed fracture subluxation midcarpal,S4C22,Closed fracture-subluxation mid carpal
Closed fracture subluxation of carpometacarpal joint,S4C23,"Closed fracture-subluxation, carpometacarpal joint"
Closed fracture subluxation lunate (volar),S4C24,Closed fracture-subluxation lunate (volar)
Closed fracture subluxation perilunate (dorsal),S4C25,Closed fracture-subluxation peri-lunate (dorsal)
Closed fracture subluxation perilunate transscaphoid,S4C26,Closed fracture-subluxation peri-lunate trans-scaphoid
Open fracture subluxation of the wrist,S4C3.,Open fracture-subluxation of the wrist
Open fracture subluxation of distal radioulnar joint,S4C30,"Open fracture-subluxation, distal radio-ulnar joint"
Open fracture subluxation radiocarpal joint,S4C31,Open fracture-subluxation radiocarpal joint
Open fracture subluxation midcarpal,S4C32,Open fracture-subluxation mid carpal
Open fracture subluxation of carpometacarpal joint,S4C33,"Open fracture-subluxation, carpometacarpal joint"
Open fracture subluxation lunate (volar),S4C34,Open fracture-subluxation lunate (volar)
Open fracture subluxation perilunate (dorsal),S4C35,Open fracture-subluxation peri-lunate (dorsal)
Open fracture subluxation perilunate transscaphoid,S4C36,Open fracture-subluxation peri-lunate trans-scaphoid
Closed fracture dislocation digit,S4D0.,Closed fracture-dislocation digit
Closed fracture dislocation of metacarpophalangeal joint,S4D01,"Closed fracture-dislocation, metacarpophalangeal joint"
Closed fracture dislocation of distal interphalangeal joint,S4D03,"Closed fracture-dislocation, distal interphalangeal joint"
Closed fracture dislocation of proximal interphalangeal joint,S4D04,"Closed fracture-dislocation, proximal interphalangeal joint"
Closed fracture dislocation of interphalangeal joint of thumb,S4D05,"Closed fracture-dislocation, interphalangeal joint thumb"
Closed fracture dislocation multiple digits,S4D06,Closed fracture-dislocation multiple digits
Open fracture dislocation digit,S4D1.,Open fracture-dislocation digit
Open fracture dislocation of metacarpophalangeal joint,S4D11,"Open fracture-dislocation, metacarpophalangeal joint"
Open fracture dislocation of distal interphalangeal joint,S4D13,"Open fracture-dislocation, distal interphalangeal joint"
Open fracture dislocation of proximal interphalangeal joint,S4D14,"Open fracture-dislocation, proximal interphalangeal joint"
Open fracture dislocation of interphalangeal joint of thumb,S4D15,"Open fracture-dislocation, interphalangeal joint thumb"
Open fracture dislocation multiple digits,S4D16,Open fracture-dislocation multiple digits
Closed fracture subluxation digit,S4D2.,Closed fracture-subluxation digit
Closed fracture subluxation of metacarpophalangeal joint,S4D21,"Closed fracture-subluxation, metacarpophalangeal joint"
Closed fracture subluxation of distal interphalangeal joint,S4D23,"Closed fracture-subluxation, distal interphalangeal joint"
Closed fracture subluxation of proximal interphalangeal joint,S4D24,"Closed fracture-subluxation, proximal interphalangeal joint"
Closed fracture subluxation of interphalangeal joint of thumb,S4D25,"Closed fracture-subluxation, interphalangeal joint thumb"
Closed fracture subluxation multiple digits,S4D26,Closed fracture-subluxation multiple digits
Open fracture subluxation digit,S4D3.,Open fracture-subluxation digit
Open fracture subluxation of metacarpophalangeal joint,S4D31,"Open fracture-subluxation, metacarpophalangeal joint"
Open fracture subluxation of distal interphalangeal joint,S4D33,"Open fracture-subluxation, distal interphalangeal joint"
Open fracture subluxation of proximal interphalangeal joint,S4D34,"Open fracture-subluxation, proximal interphalangeal joint"
Open fracture subluxation of interphalangeal joint of thumb,S4D35,"Open fracture-subluxation, interphalangeal joint thumb"
Open fracture subluxation of multiple digits,S4D36,Open fracture-subluxation multiple digits
Fracture dislocation or subluxation hip,S4E..,Fracture-dislocation or subluxation hip
Closed fracture dislocation of hip joint,S4E0.,"Closed fracture-dislocation, hip joint"
Open fracture dislocation of hip joint,S4E1.,"Open fracture-dislocation, hip joint"
Closed fracture subluxation of hip joint,S4E2.,"Closed fracture-subluxation, hip joint"
Open fracture subluxation of hip joint,S4E3.,"Open fracture-subluxation, hip joint"
Fracture dislocation or subluxation knee,S4F..,Fracture-dislocation or subluxation knee
Closed fracture dislocation of knee joint,S4F0.,"Closed fracture-dislocation, knee joint"
Open fracture dislocation of knee joint,S4F1.,"Open fracture-dislocation, knee joint"
Closed fracture subluxation of knee joint,S4F2.,"Closed fracture-subluxation, knee joint"
Open fracture subluxation of knee joint,S4F3.,"Open fracture-subluxation, knee joint"
Closed fracture dislocation of patellofemoral joint,S4F4.,"Closed fracture-dislocation, patello-femoral joint"
Open fracture dislocation of patellofemoral joint,S4F5.,"Open fracture-dislocation, patello-femoral joint"
Closed fracture subluxation of patellofemoral joint,S4F6.,"Closed fracture-subluxation, patello-femoral joint"
Open fracture subluxation of patellofemoral joint,S4F7.,"Open fracture-subluxation, patello-femoral joint"
Closed fracture dislocation of ankle joint,S4G0.,"Closed fracture-dislocation, ankle joint"
Open fracture dislocation of ankle joint,S4G1.,"Open fracture-dislocation, ankle joint"
Closed fracture subluxation of ankle joint,S4G2.,"Closed fracture-subluxation, ankle joint"
Open fracture subluxation of ankle joint,S4G3.,"Open fracture-subluxation, ankle joint"
Fracture subluxation of joint of foot,S4H..,Fracture-dislocation or subluxation foot
Fracture dislocation of foot joint,S4H..,Fracture-dislocation or subluxation foot
Closed fracture dislocation foot,S4H0.,Closed fracture-dislocation foot
Closed fracture dislocation of subtalar joint,S4H00,"Closed fracture-dislocation, subtalar joint"
Closed fracture dislocation of midtarsal joint,S4H01,"Closed fracture-dislocation, midtarsal joint"
Closed fracture dislocation of tarsometatarsal joint,S4H02,"Closed fracture-dislocation, tarsometatarsal joint"
Closed fracture dislocation of single metatarsophalangeal joint,S4H03,"Closed #-dislocation, metatarsophalangeal joint, single"
Closed fracture dislocation of interphalangeal joint of single toe,S4H04,"Closed fracture-dislocation, IPJ, single toe"
Closed fracture dislocation of multiple metatarsophalangeal joints,S4H05,"Closed #-dislocation, metatarsophalangeal joint, multiple"
Closed fracture dislocation of interphalangeal joint of multiple toes,S4H06,"Closed fracture-dislocation, IPJ, multiple toes"
Open fracture dislocation of foot,S4H1.,"Open fracture-dislocation, foot"
Open fracture dislocation of subtalar joint,S4H10,"Open fracture-dislocation, subtalar joint"
Open fracture dislocation of midtarsal joint,S4H11,"Open fracture-dislocation, midtarsal joint"
Open fracture dislocation of tarsometatarsal joint,S4H12,"Open fracture-dislocation, tarsometatarsal joint"
Open fracture dislocation of single metatarsophalangeal joint,S4H13,"Open fracture-dislocation, metatarsophalangeal joint, single"
Open fracture dislocation of interphalangeal joint of single toe,S4H14,"Open fracture-dislocation, IPJ, single toe"
Open fracture dislocation of multiple metatarsophalangeal joints,S4H15,"Open #-dislocation, metatarsophalangeal joint, multiple"
Open fracture dislocation of interphalangeal joint of multiple toes,S4H16,"Open fracture-dislocation, IPJ, multiple toes"
Closed fracture subluxation of foot,S4H2.,"Closed fracture-subluxation, foot"
Closed fracture subluxation of subtalar joint,S4H20,"Closed fracture-subluxation, subtalar joint"
Closed fracture subluxation of midtarsal joint,S4H21,"Closed fracture-subluxation, midtarsal joint"
Closed fracture subluxation of tarsometatarsal joint,S4H22,"Closed fracture-subluxation, tarsometatarsal joint"
Closed fracture subluxation of single metatarsophalangeal joint,S4H23,"Closed #-subluxation, metatarsophalangeal joint, single"
Closed fracture subluxation of interphalangeal joint of single toe,S4H24,"Closed fracture-subluxation, IPJ, single toe"
Closed fracture subluxation of multiple metatarsophalangeal joints,S4H25,"Closed #-subluxation, metatarsophalangeal joint, multiple"
Closed fracture subluxation of interphalangeal joint of multiple toes,S4H26,"Closed fracture-subluxation, IPJ, multiple toes"
Open fracture subluxation of foot,S4H3.,"Open fracture-subluxation, foot"
Open fracture subluxation of subtalar joint,S4H30,"Open fracture-subluxation, subtalar joint"
Open fracture subluxation of midtarsal joint,S4H31,"Open fracture-subluxation, midtarsal joint"
Open fracture subluxation of tarsometatarsal joint,S4H32,"Open fracture-subluxation, tarsometatarsal joint"
Open fracture subluxation of single metatarsophalangeal joint,S4H33,"Open fracture-subluxation, metatarsophalangeal joint, single"
Open fracture subluxation of interphalangeal joint of single toe,S4H34,"Open fracture-subluxation, IPJ, single toe"
Open fracture subluxation of multiple metatarsophalangeal joints,S4H35,"Open #-subluxation, metatarsophalangeal joint, multiple"
Open fracture subluxation of interphalangeal joint of multiple toes,S4H36,"Open fracture-subluxation, IPJ, multiple toes"
Closed fracture dislocation of sternum,S4J00,Closed fracture-dislocation of sternum
Closed fracture dislocation of pelvis,S4J01,Closed fracture-dislocation of pelvis
"Closed fracture dislocation sternoclavicular joint, anterior",S4J02,"Closed #-dislocation sterno-clavicular joint, anterior"
"Closed fracture dislocation sternoclavicular joint, posterior",S4J03,"Closed #-dislocation sterno-clavicular joint, posterior"
Open fracture dislocation of sternum,S4J10,Open fracture-dislocation of sternum
Open fracture dislocation of pelvis,S4J11,Open fracture-dislocation of pelvis
"Open fracture dislocation sternoclavicular joint, anterior",S4J12,"Open fracture-dislocation sterno-clavicular joint, anterior"
"Open fracture dislocation sternoclavicular joint, posterior",S4J13,"Open fracture-dislocation sterno-clavicular joint, posterior"
Closed fracture subluxation of sternum,S4J20,Closed fracture-subluxation of sternum
Closed fracture subluxation of pelvis,S4J21,Closed fracture-subluxation of pelvis
"Closed fracture subluxation sternoclavicular joint, anterior",S4J22,"Closed #-subluxation sterno-clavicular joint, anterior"
"Closed fracture subluxation sternoclavicular joint, posterior",S4J23,"Closed #-subluxation sterno-clavicular joint, posterior"
Open fracture subluxation of sternum,S4J30,Open fracture-subluxation of sternum
Open fracture subluxation of pelvis,S4J31,Open fracture-subluxation of pelvis
"Open fracture subluxation sternoclavicular joint, anterior",S4J32,"Open fracture-subluxation sterno-clavicular joint, anterior"
"Open fracture subluxation sternoclavicular joint, posterior",S4J33,"Open fracture-subluxation sterno-clavicular joint, posterior"
Sprain of acromioclavicular ligament,S500.,"Sprain, acromio-clavicular ligament"
"Sprain, coracoclavicular ligament",S501.,"Sprain, coraco-clavicular ligament"
Coracohumeral sprain,S502.,Coracohumeral sprain
Sprain of shoulder rotator cuff,S504.,Rotator cuff sprain
Sprain of shoulder,S507.,"Sprain, shoulder joint"
"Sprain, shoulder joint, anterior",S5070,"Sprain, shoulder joint, anterior"
"Sprain, shoulder joint, posterior",S5071,"Sprain, shoulder joint, posterior"
Sprain of elbow and forearm,S51..,Sprain of elbow and forearm
"Sprain, elbow joint, lateral collateral ligament",S510.,"Sprain, elbow joint, lateral collateral ligament"
"Sprain, elbow joint, medial collateral ligament",S511.,"Sprain, elbow joint, medial collateral ligament"
Radiohumeral sprain,S512.,Radiohumeral sprain
Ulnohumeral sprain,S513.,Ulnohumeral sprain
Sprain of wrist and/or hand,S52..,Sprain of wrist and hand
Sprain of wrist,S520.,Sprain wrist ligament
Sprain of radiocarpal ligament,S520.,Sprain wrist ligament
Carpal joint sprain,S5201,Carpal joint sprain
Sprain proximal radiocarpal ligament nonspecific,S5202,Sprain proximal radiocarpal ligament non-specific
Distal radioulnar joint sprain,S5203,Distal radioulnar joint sprain
Sprain radial collateral ligament,S5204,Sprain radial collateral ligament
Sprain volar radiocarpal ligament nonspecific,S5205,Sprain volar radio-carpal ligament non-specific
Sprain volar radiocarpal ligament superficial,S5206,Sprain volar radio-carpal ligament superficial
Sprain of radioscaphocapitate ligament,S5207,Sprain radio-scapho-capitate ligament
Sprain of radiolunate ligament,S5208,Sprain radio-lunate ligament
Sprain of radioscapholunate ligament,S5209,Sprain radio-scapho-lunate ligament
Sprain dorsal radiocarpal ligament,S520A,Sprain dorsal radio-carpal ligament
Sprain ulnar carpal complex nonspecific,S520B,Sprain ulnar carpal complex non-specific
Sprain ulnar-carpal meniscus,S520C,Sprain ulnar-carpal meniscus
Sprain triangular fibrocartilage,S520D,Sprain triangular fibrocartilage
Sprain of ulnolunate ligament,S520E,Sprain ulno-lunate ligament
Sprain ulnar collateral ligament,S520F,Sprain ulnar collateral ligament
Sprain short intrinsic ligament nonspecific,S520G,Sprain short intrinsic ligament non-specific
Sprain of scaphotrapezium ligament,S520H,Sprain scapho-trapezium ligament
Sprain of lunotriquetral ligament,S520J,Sprain luno-triquetral ligament
Sprain of scapholunate ligament,S520K,Sprain scapho-lunate ligament
Sprain volar intercarpal ligament or V ligament,S520L,Sprain volar intercarpal ligament or V ligament
Sprain dorsal intercarpal ligament,S520M,Sprain dorsal intercarpal ligament
Sprain of hand,S521.,Hand sprain
Sprained finger/thumb,S521.,Hand sprain
Sprain of carpometacarpal joint,S5211,Carpometacarpal sprain
Interphalangeal sprain,S5213,Interphalangeal sprain
Midcarpal joint sprain,S5214,Midcarpal joint sprain
Sprain of thumb,S522.,Sprain thumb
"Sprain thumb, carpometacarpal joint",S5220,"Sprain thumb, carpometacarpal joint"
"Sprain thumb, metacarpophalangeal joint nonspecific",S5221,"Sprain thumb, metacarpophalangeal joint non specific"
"Sprain thumb, metacarpophalangeal joint, radial collateral ligament",S5222,Sprain thumb M.C.P.J. radial collateral ligament
"Sprain thumb, metacarpophalangeal joint, ulnar collateral ligament",S5223,Sprain thumb M.C.P.J. ulnar collateral ligament
"Sprain thumb, interphalangeal joint, nonspecific",S5224,"Sprain thumb, interphalangeal joint, non specific"
"Sprain thumb, interphalangeal joint, radial collateral ligament",S5225,Sprain thumb I.P.J. radial collateral ligament
"Sprain thumb, interphalangeal joint, ulnar collateral ligament",S5226,Sprain thumb I.P.J. ulnar collateral ligament
Sprain of ligament of finger,S523.,Sprain finger
Sprain of metacarpophalangeal joint,S5230,"Sprain finger, carpometacarpal joint"
"Sprain finger, metacarpophalangeal joint, nonspecific",S5231,"Sprain finger, metacarpophalangeal joint, non specific"
"Sprain finger, metacarpophalangeal joint, radial collateral ligament",S5232,Sprain finger M.C.P.J. radial collateral ligament
"Sprain finger, metacarpophalangeal joint, ulnar collateral ligament",S5233,Sprain finger M.C.P.J. ulnar collateral ligament
"Sprain finger, proximal interphalangeal joint, nonspecific",S5234,"Sprain finger, proximal interphalangeal joint, non specific"
"Sprain finger, proximal interphalangeal joint, radial collateral ligament",S5235,Sprain finger P.I.P.J. radial collateral ligament
"Sprain finger, proximal interphalangeal joint, ulnar collateral ligament",S5236,Sprain finger P.I.P.J. ulnar collateral ligament
"Sprain finger, distal interphalangeal joint, nonspecific",S5237,"Sprain finger, distal interphalangeal joint, non specific"
"Sprain finger, distal interphalangeal joint, radial collateral ligament",S5238,Sprain finger D.I.P.J. radial collateral ligament
"Sprain finger, distal interphalangeal joint, ulnar collateral ligament",S5239,Sprain finger D.I.P.J. ulnar collateral ligament
Volar plate injury of metacarpophalangeal joint of finger,S523A,"Volar plate injury, finger, metacarpophalangeal joint"
Volar plate injury of proximal interphalangeal joint of finger,S523B,"Volar plate injury, finger, proximal interphalangeal joint"
Volar plate injury of distal interphalangeal joint of finger,S523C,"Volar plate injury, finger, distal interphalangeal joint"
"Volar plate injury, thumb, metacarpophalangeal joint",S523D,"Volar plate injury, thumb, metacarpophalangeal joint"
"Volar plate injury, thumb, interphalangeal joint",S523E,"Volar plate injury, thumb, interphalangeal joint"
Iliofemoral sprain,S530.,Iliofemoral sprain
Ischiocapsular sprain,S531.,Ischiocapsular sprain
Sprain of hip,S532.,"Sprain, hip joint"
"Sprain or partial tear, knee, lateral collateral ligament",S540.,"Sprain or partial tear, knee, lateral collateral ligament"
Sprain of lateral collateral ligament of knee,S5400,"Sprain, knee joint, lateral collateral ligament"
"Partial tear, knee, lateral collateral ligament",S5401,"Partial tear, knee, lateral collateral ligament"
Sprain of medial collateral ligament of knee,S541.,Sprain of medial collateral ligament of knee
"Partial tear, knee, medial collateral ligament",S5411,"Partial tear, knee, medial collateral ligament"
Sprain of cruciate ligament of knee,S542.,Sprain of cruciate ligament of knee
Sprain of posterior cruciate ligament of knee,S542.,Sprain of cruciate ligament of knee
Sprain of anterior cruciate ligament of knee,S542.,Sprain of cruciate ligament of knee
"Partial tear, knee, anterior cruciate ligament",S5421,"Partial tear, knee, anterior cruciate ligament"
"Partial tear, knee, posterior cruciate ligament",S5422,"Partial tear, knee, posterior cruciate ligament"
Sprain of superior tibiofibular ligament,S543.,Sprain of superior tibiofibular ligament
Sprain of ankle and/or foot,S55..,Sprain of ankle and foot
Supination-adduction injury of ankle,S550.,Ankle sprain
"Supination-adduction injury of ankle, stage 1",S550.,Ankle sprain
Sprain of ankle grade I,S550.,Ankle sprain
"Supination-eversion injury of ankle, stage 4",S550.,Ankle sprain
"Supination-eversion injury of ankle, stage 3",S550.,Ankle sprain
Sprain of deltoid ligament of ankle,S550.,Ankle sprain
Supination-internal rotation injury of ankle,S550.,Ankle sprain
Sprain of lateral ligament of ankle joint,S550.,Ankle sprain
Supination-eversion injury of ankle,S550.,Ankle sprain
Sprain of talofibular ligament of right ankle,S550.,Ankle sprain
"Supination-adduction injury of ankle, stage 2",S550.,Ankle sprain
"Supination-eversion injury of ankle, stage 1",S550.,Ankle sprain
Sprain of ankle grade II,S550.,Ankle sprain
Sprain of ankle,S550.,Ankle sprain
"Supination-eversion injury of ankle, stage 2",S550.,Ankle sprain
Sprain of ankle grade III,S550.,Ankle sprain
Sprain of talofibular ligament of left ankle,S550.,Ankle sprain
Sprain of calcaneofibular ligament,S550.,Ankle sprain
"Sprain, ankle joint, lateral",S5502,"Sprain, ankle joint, lateral"
Distal tibiofibular sprain,S5503,Distal tibiofibular sprain
Ruptured Achilles tendon - traumatic,S5504,"Sprain, tendocalcaneus (Achilles tendon)"
Partial tear of medial ligament of ankle,S5505,"Partial tear, ankle, medial ligament"
"Partial tear, ankle, lateral ligament",S5506,"Partial tear, ankle, lateral ligament"
Sprain of toe joint,S551.,Foot sprain
Sprain of foot,S551.,Foot sprain
"Sprain, tarsometatarsal joint",S5511,"Sprain, tarso-metatarsal joint"
"Sprain, metatarsophalangeal joint",S5512,"Sprain, metatarso-phalangeal joint"
Sprain of interphalangeal joint of toe,S5513,"Sprain, inter-phalangeal joint, toe"
Sprain of midtarsal joint,S5514,"Sprain, mid tarsal joint"
Sprain pelvic ligament,S56..,Sprain pelvic ligament
Sprain of ligament of lumbosacral joint,S560.,"Sprain, lumbosacral ligament"
"Sprain, anterior sacroiliac ligament",S5610,"Sprain, anterior sacro-iliac ligament"
"Sprain, posterior sacroiliac ligament",S5611,"Sprain, posterior sacro-iliac ligament"
"Sprain, sacrospinous ligament",S562.,"Sprain, sacrospinous ligament"
"Sprain, sacrotuberous ligament",S563.,"Sprain, sacrotuberous ligament"
"Sprain, iliolumbar ligament",S564.,"Sprain, iliolumbar ligament"
Back sprain excluding lumbosacral,S57..,Sprain of other parts of back
Sprain of spinal ligament,S57..,Sprain of other parts of back
Cervical spine sprain,S570.,Neck sprain
Neck sprain,S570.,Neck sprain
Acute cervical sprain,S570.,Neck sprain
Cervical anterior longitudinal ligament sprain,S5701,Cervical anterior longitudinal ligament sprain
Atlantoaxial joint sprain,S5702,Atlanto-axial joint sprain
Atlanto-occipital joint sprain,S5703,Atlanto-occipital joint sprain
Whiplash injury to neck,S5704,Whiplash injury
Thoracic back sprain,S571.,Thoracic sprain
Lumbar sprain,S572.,Lumbar sprain
Sacrum sprain,S573.,Sacrum sprain
Complete tear of shoulder joint,S58..,"Complete tear, shoulder joint"
Rupture of acromioclavicular ligament,S580.,"Complete tear, acromio-clavicular ligament"
"Complete tear, coracoclavicular ligament",S581.,"Complete tear, coraco-clavicular ligament"
"Complete tear, elbow joint",S59..,"Complete tear, elbow joint"
"Complete tear, elbow joint, lateral collateral ligament",S590.,"Complete tear, elbow joint, lateral collateral ligament"
"Complete tear, elbow joint, medial collateral ligament",S591.,"Complete tear, elbow joint, medial collateral ligament"
Complete tear of ligament of wrist and/or hand,S5A..,"Complete tear, wrist or hand"
Complete tear of wrist ligament,S5A0.,Complete tear wrist ligament
Complete tear radial collateral ligament,S5A00,Complete tear radial collateral ligament
Complete tear proximal radiocarpal ligament nonspecific,S5A01,Complete tear proximal radiocarpal ligament non-specific
Complete tear volar radiocarpal ligament nonspecific,S5A02,Complete tear volar radio-carpal ligament non-specific
Complete tear volar radiocarpal ligament superficial,S5A03,Complete tear volar radio-carpal ligament superficial
Complete tear radio-scapho-capitate ligament,S5A04,Complete tear radio-scapho-capitate ligament
Complete tear radio-lunate ligament,S5A05,Complete tear radio-lunate ligament
Complete tear of radioscapholunate ligament,S5A06,Complete tear radio-scapho-lunate ligament
Complete tear dorsal radiocarpal ligament,S5A07,Complete tear dorsal radio-carpal ligament
Complete tear ulnar carpal complex nonspecific,S5A08,Complete tear ulnar carpal complex non-specific
Complete tear ulnar-carpal meniscus,S5A09,Complete tear ulnar-carpal meniscus
Complete tear triangular fibrocartilage,S5A0A,Complete tear triangular fibrocartilage
Complete tear of ulnolunate ligament,S5A0B,Complete tear ulno-lunate ligament
Complete tear ulnar collateral ligament,S5A0C,Complete tear ulnar collateral ligament
Complete tear short intrinsic ligament nonspecific,S5A0D,Complete tear short intrinsic ligament non-specific
Complete tear scapho-trapezium ligament,S5A0E,Complete tear scapho-trapezium ligament
Complete tear of lunotriquetral ligament,S5A0F,Complete tear luno-triquetral ligament
Complete tear of scapholunate ligament,S5A0G,Complete tear scapho-lunate ligament
Complete tear volar intercarpal ligament (V ligament),S5A0H,Complete tear volar intercarpal ligament (V ligament)
Complete tear dorsal intercarpal ligament,S5A0J,Complete tear dorsal intercarpal ligament
Complete tear of ligament of thumb,S5A1.,Complete tear ligament thumb
"Complete tear, thumb, metacarpophalangeal joint, radial collateral ligament",S5A10,Complete tear thumb M.C.P.J. radial collateral ligament
"Complete tear, thumb, metacarpophalangeal joint, ulnar collateral ligament",S5A11,Complete tear thumb M.C.P.J. ulnar collateral ligament
"Complete tear, thumb, interphalangeal joint, radial collateral ligament",S5A12,Complete tear thumb I.P.J. radial collateral ligament
"Complete tear, thumb, interphalangeal joint, ulnar collateral ligament",S5A13,Complete tear thumb I.P.J. ulnar collateral ligament
Complete tear of ligament of finger,S5A2.,Complete tear ligament finger
"Complete tear, finger, metacarpophalangeal joint, radial collateral ligament",S5A20,Complete tear finger M.C.P.J. radial collateral ligament
"Complete tear, finger, metacarpophalangeal joint, ulnar collateral ligament",S5A21,Complete tear finger M.C.P.J. ulnar collateral ligament
"Complete tear, finger, proximal interphalangeal joint, radial collateral ligament",S5A22,Complete tear finger P.I.P.J. radial collateral ligament
"Complete tear, finger, proximal interphalangeal joint, ulnar collateral ligament",S5A23,Complete tear finger P.I.P.J. ulnar collateral ligament
"Complete tear, finger, distal interphalangeal joint, radial collateral ligament",S5A24,Complete tear finger D.I.P.J. radial collateral ligament
"Complete tear, finger, distal interphalangeal joint, ulnar collateral ligament",S5A25,Complete tear finger D.I.P.J. ulnar collateral ligament
"Complete tear, hip ligament",S5B..,"Complete tear, hip ligament"
Complete tear of iliofemoral ligament,S5B0.,Complete tear Iliofemoral ligament
"Complete tear, knee ligament",S5C..,"Complete tear, knee ligament"
"Complete tear, knee, lateral collateral ligament",S5C0.,"Complete tear, knee, lateral collateral ligament"
"Complete tear, knee, medial collateral ligament",S5C1.,"Complete tear, knee, medial collateral ligament"
"Complete tear, knee, posterior cruciate ligament",S5C2.,"Complete tear, knee, posterior cruciate ligament"
"Complete tear, knee, anterior cruciate ligament",S5C3.,"Complete tear, knee, anterior cruciate ligament"
"Complete tear, ankle and/or foot ligament",S5D..,"Complete tear, ankle or foot ligament"
Rupture of ankle ligament,S5D0.,"Complete tear, ankle ligament"
